"#","תפקיד","חברה","מיקום","ניסיון","סוג משרה","פורסם","קישור"
"1","Senior Python Backend Developer","Matrix R&D Services","פתח תקווה","5-6 שנים","משרה מלאה ועוד","לפני 50 דקות","https://www.drushim.co.il/job/36913241/8fc3ef9d/"
"2","Senior Python Backend developer","TALPIOT","פתח תקווה","5-6 שנים","משרה מלאה ועוד","לפני 21 שעות","https://www.drushim.co.il/job/36838324/4894f6c8/"
"3","Automation Engineer (Python)","Matrix R&D Services","תל אביב","3-4 שנים","משרה מלאה","לפני 50 דקות","https://www.drushim.co.il/job/36913393/f54bedd8/"
"4","ATE Software Engineer (Python)","CodeValue","מספר מקומות","5-6 שנים","משרה מלאה","לפני 23 שעות","https://www.drushim.co.il/job/36831750/cc77d060/"
"5","דרוש/ה מפתח/ת אוטומציה ב PYTHON","חסוי","אשדוד","1-2 שנים","משרה מלאה","לפני שעה","https://www.drushim.co.il/job/37059256/52c5a8c2/"
"6","מפתח/ת אוטומציה Python","TALPIOT","אור יהודה","1-2 שנים","היברידי","לפני 22 שעות","https://www.drushim.co.il/job/37042308/cfc77838/"
"7","Python Databricks Developer","Logica-IT","רמת גן","3-4 שנים","היברידי","19/05/2026","https://www.drushim.co.il/job/36939784/52cd6419/"
"8","Python Automation Developer","Ness","הרצליה","3-4 שנים","משרה מלאה","08/05/2026","https://www.drushim.co.il/job/36970469/3493fbdb/"
"9","תכניתנ.ית Python","Software AG - SPL","חולון","3-4 שנים","משרה מלאה","21/05/2026","https://www.drushim.co.il/job/36905793/e39d9709/"
"10","מפתח/ת Full Stack - Python / React","בינת מערכות תכנה","רמת החייל","3-4 שנים","משרה מלאה","15/05/2026","https://www.drushim.co.il/job/36830002/21142ada/"
